,PLAYERID,player,DFGM,DFGA,Defending FG%,oFG%,difference
4750,200752,"Gay, Rudy",230.0,536.0,0.4291044776119403,0.4424033755126346,0.013298897900694273
269,2733,"Livingston, Shaun",114.0,272.0,0.41911764705882354,0.4324090241076301,0.013291377048806563
13413,201937,"Rubio, Ricky",72.0,166.0,0.43373493975903615,0.4469473047580892,0.013212364999053039
5804,2202,"Richardson, Jason",20.0,46.0,0.43478260869565216,0.4478374327048951,0.01305482400924296
41,101139,"Miles, CJ",124.0,291.0,0.4261168384879725,0.4389778201559499,0.01286098166797739
7286,202689,"Walker, Kemba",225.0,526.0,0.42775665399239543,0.4403148122554144,0.012558158263018981
833,203138,"Thompson, Hollis",144.0,337.0,0.42729970326409494,0.43852768451155166,0.01122798124745672
10237,101128,"Garcia, Francisco",22.0,52.0,0.4230769230769231,0.4342737614269402,0.011196838350017113
422,202335,"Patterson, Patrick",217.0,491.0,0.4419551934826884,0.45313139203539926,0.011176198552710848
474,2449,"Scola, Luis",148.0,328.0,0.45121951219512196,0.4622535097066794,0.011033997511557425
8692,202362,"Stephenson, Lance",123.0,282.0,0.43617021276595747,0.44706374121846476,0.010893528452507295
230,2544,"James, LeBron",151.0,342.0,0.4415204678362573,0.4518361692558939,0.010315701419636614
1791,200768,"Lowry, Kyle",234.0,542.0,0.4317343173431734,0.4419898372464709,0.010255519903297483
379,201567,"Love, Kevin",315.0,691.0,0.4558610709117221,0.466003193602116,0.010142122690393884
7287,203148,"Roberts, Brian",123.0,290.0,0.4241379310344828,0.4341882092236175,0.010050278189134731
1493,202693,"Morris, Markieff",267.0,591.0,0.4517766497461929,0.46141138800081144,0.009634738254618525
167,201950,"Holiday, Jrue",170.0,394.0,0.43147208121827413,0.4409329907241974,0.009460909505923265
447,2747,"Smith, J.R.",142.0,335.0,0.42388059701492536,0.43314297434118487,0.009262377326259508
258,201960,"Carroll, DeMarre",221.0,509.0,0.43418467583497056,0.44341259118878856,0.009227915353818006
175,203521,"Dellavedova, Matthew",112.0,267.0,0.41947565543071164,0.4286316052339841,0.009155949803272445
5975,708,"Garnett, Kevin",106.0,231.0,0.4588744588744589,0.4679677820634754,0.009093323189016511
156,204037,"Wear, Travis",61.0,142.0,0.4295774647887324,0.4386371779654707,0.009059713176738315
1506,1713,"Carter, Vince",75.0,174.0,0.43103448275862066,0.4400798381026347,0.009045355344014017
145,204014,"Rudez, Damjan",76.0,178.0,0.42696629213483145,0.43583139676845106,0.008865104633619614
608,202713,"Singler, Kyle",206.0,475.0,0.4336842105263158,0.4424503517042721,0.008766141177956321
117,202681,"Irving, Kyrie",244.0,567.0,0.43033509700176364,0.4389238200583614,0.008588723056597747
1378,202498,"Thomas, Lance",53.0,123.0,0.43089430894308944,0.43946365534189097,0.008569346398801525
276,2549,"Kaman, Chris",209.0,448.0,0.46651785714285715,0.47506051095185814,0.008542653809000988
1823,203079,"Waiters, Dion",168.0,389.0,0.4318766066838046,0.4402622236816858,0.008385616997881207
1194,2736,"Deng, Luol",244.0,550.0,0.44363636363636366,0.4510999730675147,0.0074636094311510415
222,202339,"Bledsoe, Eric",280.0,650.0,0.4307692307692308,0.43789379266509176,0.00712456189586097
85,2403,Nene,176.0,389.0,0.4524421593830334,0.4589258323060843,0.006483672923050909
435,2585,"Pachulia, Zaza",203.0,437.0,0.4645308924485126,0.4709388447257915,0.006407952277278917
481,201148,"Wright, Brandan",154.0,340.0,0.45294117647058824,0.45929042913381923,0.006349252663230998
297,201933,"Griffin, Blake",279.0,606.0,0.4603960396039604,0.4663788447106828,0.005982805106722389
67,202322,"Wall, John",220.0,511.0,0.43052837573385516,0.4363860162279937,0.005857640494138561
1528,201565,"Rose, Derrick",190.0,439.0,0.4328018223234624,0.4384353925149843,0.005633570191521886
1064,203142,"Copeland, Chris",92.0,208.0,0.4423076923076923,0.4475755101612795,0.005267817853587209
280,203081,"Lillard, Damian",251.0,579.0,0.43350604490500866,0.4387583721052634,0.005252327200254758
4732,201962,"Douglas, Toney",7.0,17.0,0.4117647058823529,0.41689669327222056,0.005131987389867643
427,203096,"Sullinger, Jared",239.0,523.0,0.4569789674952199,0.46203721318233687,0.005058245687116991
8681,201563,"Beasley, Michael",14.0,30.0,0.4666666666666667,0.47156005055472083,0.004893383888054159
2168,201627,"Morrow, Anthony",124.0,285.0,0.43508771929824563,0.4397635729310569,0.004675853632811255
4833,101135,"Lee, David",103.0,224.0,0.45982142857142855,0.4644495855870252,0.004628157015596657
212,203914,"Harris, Gary",46.0,108.0,0.42592592592592593,0.43025730555711933,0.004331379631193399
2056,201582,"Ajinca, Alexis",114.0,245.0,0.46530612244897956,0.4695021274022719,0.004196004953292309
9552,101183,"Randolph, Shavlik",20.0,45.0,0.4444444444444444,0.44855644360087216,0.004111999156427737
279,200746,"Aldridge, LaMarcus",302.0,655.0,0.46106870229007635,0.4651667762920238,0.004098074001947449
478,202718,"Parsons, Chandler",179.0,412.0,0.4344660194174757,0.4384140518341037,0.003948032416628
791,201566,"Westbrook, Russell",135.0,306.0,0.4411764705882353,0.4446328576102632,0.0034563870220279402
5099,101107,"Williams, Marvin",168.0,370.0,0.4540540540540541,0.4574435103074611,0.0033894562534070305
472,201985,"Price, A.J.",29.0,69.0,0.42028985507246375,0.42337760655151596,0.0030877514790522143
334,200782,"Tucker, PJ",207.0,468.0,0.4423076923076923,0.4446553320057337,0.002347639698041415
1161,2430,"Boozer, Carlos",186.0,405.0,0.45925925925925926,0.4615838574918287,0.0023245982325694192
310,201155,"Stuckey, Rodney",154.0,351.0,0.43874643874643876,0.4409161279490888,0.002169689202650038
542,101138,"Bass, Brandon",181.0,400.0,0.4525,0.45430912537823015,0.0018091253782301364
305,202699,"Harris, Tobias",225.0,500.0,0.45,0.45152401244700874,0.0015240124470087268
5192,201954,"Collison, Darren",208.0,476.0,0.4369747899159664,0.4384979584902991,0.0015231685743327117
1364,200751,"Foye, Randy",50.0,116.0,0.43103448275862066,0.4323315265300952,0.0012970437714745486
179,1891,"Terry, Jason",118.0,270.0,0.43703703703703706,0.4381825147800932,0.0011454777430561225
164,202690,"Fredette, Jimmer",50.0,117.0,0.42735042735042733,0.42846284576414695,0.001112418413719618
28,200826,"Barea, Jose Juan",105.0,243.0,0.43209876543209874,0.4325476001012174,0.00044883466911865844
185,203088,"Marshall, Kendall",42.0,100.0,0.42,0.42041983806963606,0.0004198380696360804
1241,202697,"Shumpert, Iman",134.0,305.0,0.43934426229508194,0.4395384387173126,0.0001941764222306297
271,2738,"Iguodala, Andre",151.0,344.0,0.438953488372093,0.4390884464250545,0.00013495805296148689
568,2199,"Chandler, Tyson",329.0,698.0,0.4713467048710602,0.4713605279719275,1.38231008673384e-05
680,202338,"Seraphin, Kevin",139.0,298.0,0.4664429530201342,0.4663678262153382,-7.512680479604406e-05
291,200770,"Farmar, Jordan",66.0,152.0,0.4342105263157895,0.4341128146174854,-9.771169830408155e-05
18,202738,"Thomas, Isaiah",135.0,316.0,0.4272151898734177,0.4268523954286203,-0.00036279444479742073
73295,203958,"Dawkins, Andre",2.0,5.0,0.4,0.39944700189588844,-0.0005529981041115795
209,202702,"Faried, Kenneth",241.0,518.0,0.46525096525096526,0.4641397575754001,-0.0011112076755651623
5070,203128,"Aldemir, Furkan",33.0,71.0,0.4647887323943662,0.46273281713701114,-0.0020559152573550454
109,200811,"Amundson, Lou",90.0,190.0,0.47368421052631576,0.4715296398150234,-0.0021545707112923806
159,101150,"Williams, Lou",132.0,304.0,0.4342105263157895,0.43195303812063585,-0.002257488195153645
19,201166,"Brooks, Aaron",138.0,313.0,0.44089456869009586,0.438406212923443,-0.00248835576665285
9304,201611,"Walker, Henry",23.0,49.0,0.46938775510204084,0.46618817513257393,-0.0031995799694669036
119,202684,"Thompson, Tristan",286.0,610.0,0.46885245901639344,0.465651200631143,-0.0032012583852504273
20,2550,"Hinrich, Kirk",156.0,357.0,0.4369747899159664,0.4336967141301103,-0.003278075785856094
1894,202330,"Hayward, Gordon",193.0,428.0,0.45093457943925236,0.4475170270308906,-0.003417552408361779
389,2547,"Bosh, Chris",234.0,498.0,0.46987951807228917,0.46641383608616543,-0.0034656819861237365
801,202688,"Knight, Brandon",205.0,470.0,0.43617021276595747,0.43263785440380637,-0.0035323583621511
1842,202700,"Motiejunas, Donatas",276.0,588.0,0.46938775510204084,0.46560031549401887,-0.0037874396080219697
3165,200769,"Brown, Shannon",8.0,17.0,0.47058823529411764,0.46667712213265716,-0.003911113161460478
111,201160,"Smith, Jason",197.0,424.0,0.46462264150943394,0.46065550189565735,-0.0039671396137765935
1953,2419,"Prince, Tayshaun",106.0,236.0,0.4491525423728814,0.4449901470420623,-0.00416239533081908
5332,201942,"DeRozan, DeMar",131.0,287.0,0.4564459930313589,0.4522249585117993,-0.00422103451955963
174,202696,"Vucevic, Nikola",335.0,697.0,0.4806312769010043,0.47638889019934805,-0.0042423867016562755
2181,201975,"Meeks, Jodie",94.0,216.0,0.4351851851851852,0.4309076483310173,-0.004277536854167874
5097,203077,"Kidd-Gilchrist, Michael",132.0,295.0,0.44745762711864406,0.44315659966922555,-0.004301027449418515
359,201600,"Asik, Omer",297.0,610.0,0.48688524590163934,0.48191547340962726,-0.004969772492012081
20904,203805,"Cherry, Will",10.0,23.0,0.43478260869565216,0.42962516051435684,-0.005157448181295321
6,101127,"Jack, Jarrett",236.0,532.0,0.44360902255639095,0.4383428608862451,-0.005266161670145875
1257,202720,"Leuer, Jon",106.0,233.0,0.45493562231759654,0.4496656771066865,-0.005269945210910065
13748,203141,"Teletovic, Mirza",135.0,294.0,0.45918367346938777,0.4538973352556998,-0.005286338213687958
1590,201609,"Dragic, Goran",209.0,474.0,0.4409282700421941,0.4355419015920411,-0.005386368450153001
35,203083,"Drummond, Andre",296.0,609.0,0.4860426929392447,0.48059436614355394,-0.005448326795690739
59,203960,"Sampson, JaKarr",103.0,230.0,0.44782608695652176,0.4421275491556961,-0.005698537800825687
45218,202235,"Dos Santos, Atila",5.0,12.0,0.4166666666666667,0.4109394452092058,-0.005727221457460907
171,2557,"Ridnour, Luke",49.0,113.0,0.4336283185840708,0.42743330160371035,-0.006195016980360457
8773,203932,"Gordon, Aaron",55.0,119.0,0.46218487394957986,0.4559867629153101,-0.00619811103426976
929,201977,"Thornton, Marcus",56.0,127.0,0.4409448818897638,0.43474034970371644,-0.006204532186047329
2962,204060,"Ingles, Joe",118.0,261.0,0.4521072796934866,0.445900787799983,-0.006206491893503585
169,203482,"Olynyk, Kelly",194.0,419.0,0.4630071599045346,0.45656085817944425,-0.006446301725090364
1013,201599,"Jordan, DeAndre",381.0,795.0,0.47924528301886793,0.47253664080123614,-0.006708642217631788
907,201584,"Lee, Courtney",209.0,471.0,0.4437367303609342,0.43677754510338657,-0.006959185257547629
198,202704,"Jackson, Reggie",212.0,470.0,0.451063829787234,0.4435016282625159,-0.0075622015247181484
120,2034,"Miller, Mike",67.0,148.0,0.4527027027027027,0.44479316339874475,-0.007909539303957935
16006,101236,"Hayes, Charles",30.0,64.0,0.46875,0.46059402161722857,-0.008155978382771434
4764,201956,"Casspi, Omri",86.0,190.0,0.45263157894736844,0.44440009199886615,-0.008231486948502287
860,202694,"Morris, Marcus",195.0,435.0,0.4482758620689655,0.4398949293732228,-0.008380932695742749
103,1938,"Ginobili, Manu",94.0,207.0,0.45410628019323673,0.44529824908822646,-0.008808031105010272
134,203584,"Daniels, Troy",25.0,56.0,0.44642857142857145,0.4375385126286928,-0.008890058799878642
